2026-04-06T18:43:13  INFO     [18:43:13.780] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.8 min left
2026-04-06T18:43:37  INFO     [18:43:37.417] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:37  INFO     [18:43:37.421] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:37  INFO     [18:43:37.503] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
2026-04-06T18:43:38  INFO     [18:43:38.152] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:38  INFO     [18:43:38.156] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:38  INFO     [18:43:38.239] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
2026-04-06T18:43:38  INFO     [18:43:38.892] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:38  INFO     [18:43:38.895] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.4 min left
2026-04-06T18:43:38  INFO     [18:43:38.976] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.4 min left
2026-04-06T18:43:39  INFO     [18:43:39.621] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:39  INFO     [18:43:39.626] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:39  INFO     [18:43:39.713] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.3 min left
2026-04-06T18:43:40  INFO     [18:43:40.354] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:40  INFO     [18:43:40.359] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:40  INFO     [18:43:40.450] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.3 min left
2026-04-06T18:43:41  INFO     [18:43:41.089] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:41  INFO     [18:43:41.096] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:41  INFO     [18:43:41.188] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.3 min left
2026-04-06T18:43:41  INFO     [18:43:41.824] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:41  INFO     [18:43:41.828] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:41  INFO     [18:43:41.926] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.3 min left
2026-04-06T18:43:42  INFO     [18:43:42.550] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:42  INFO     [18:43:42.558] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:42  INFO     [18:43:42.674] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.3 min left
2026-04-06T18:43:43  INFO     [18:43:43.299] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:43  INFO     [18:43:43.304] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:43  INFO     [18:43:43.413] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.3 min left
2026-04-06T18:43:44  INFO     [18:43:44.037] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:44  INFO     [18:43:44.041] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:44  INFO     [18:43:44.151] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.3 min left
2026-04-06T18:43:44  INFO     [18:43:44.774] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:44  INFO     [18:43:44.779] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.3 min left
2026-04-06T18:43:44  INFO     [18:43:44.888] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.3 min left
2026-04-06T18:43:45  INFO     [18:43:45.511] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:45  INFO     [18:43:45.516] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:45  INFO     [18:43:45.657] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.2 min left
2026-04-06T18:43:46  INFO     [18:43:46.246] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:46  INFO     [18:43:46.279] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:46  INFO     [18:43:46.397] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.2 min left
2026-04-06T18:43:46  INFO     [18:43:46.990] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:47  INFO     [18:43:47.007] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:47  INFO     [18:43:47.133] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.2 min left
2026-04-06T18:43:47  INFO     [18:43:47.728] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:47  INFO     [18:43:47.741] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:47  INFO     [18:43:47.874] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.2 min left
2026-04-06T18:43:48  INFO     [18:43:48.461] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:48  INFO     [18:43:48.472] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:48  INFO     [18:43:48.608] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.2 min left
2026-04-06T18:43:49  INFO     [18:43:49.192] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:49  INFO     [18:43:49.196] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:49  INFO     [18:43:49.343] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.2 min left
2026-04-06T18:43:49  INFO     [18:43:49.928] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:49  INFO     [18:43:49.932] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:50  INFO     [18:43:50.080] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.2 min left
2026-04-06T18:43:50  INFO     [18:43:50.666] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:50  INFO     [18:43:50.670] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.2 min left
2026-04-06T18:43:50  INFO     [18:43:50.816] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.2 min left
2026-04-06T18:43:51  INFO     [18:43:51.401] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:51  INFO     [18:43:51.406] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:51  INFO     [18:43:51.551] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.1 min left
2026-04-06T18:43:52  INFO     [18:43:52.137] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:52  INFO     [18:43:52.143] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:52  INFO     [18:43:52.286] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.1 min left
2026-04-06T18:43:52  INFO     [18:43:52.874] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:52  INFO     [18:43:52.878] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:53  INFO     [18:43:53.021] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.1 min left
2026-04-06T18:43:53  INFO     [18:43:53.610] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:53  INFO     [18:43:53.615] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:53  INFO     [18:43:53.756] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.1 min left
2026-04-06T18:43:54  INFO     [18:43:54.345] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:54  INFO     [18:43:54.350] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:54  INFO     [18:43:54.492] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.1 min left
2026-04-06T18:43:55  INFO     [18:43:55.073] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:55  INFO     [18:43:55.079] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:55  INFO     [18:43:55.228] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.1 min left
2026-04-06T18:43:55  INFO     [18:43:55.808] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:55  INFO     [18:43:55.814] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:55  INFO     [18:43:55.965] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.1 min left
2026-04-06T18:43:56  INFO     [18:43:56.543] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:56  INFO     [18:43:56.570] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.1 min left
2026-04-06T18:43:56  INFO     [18:43:56.699] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.1 min left
2026-04-06T18:43:57  INFO     [18:43:57.282] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.0 min left
2026-04-06T18:43:57  INFO     [18:43:57.298] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.0 min left
2026-04-06T18:43:57  INFO     [18:43:57.435] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.0 min left
2026-04-06T18:43:58  INFO     [18:43:58.024] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.0 min left
2026-04-06T18:43:58  INFO     [18:43:58.029] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.0 min left
2026-04-06T18:43:58  INFO     [18:43:58.173] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.0 min left
2026-04-06T18:43:58  INFO     [18:43:58.753] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.0 min left
2026-04-06T18:43:58  INFO     [18:43:58.759] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.0 min left
2026-04-06T18:43:58  INFO     [18:43:58.908] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.0 min left
2026-04-06T18:43:59  INFO     [18:43:59.481] [KXBTC15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.0 min left
2026-04-06T18:43:59  INFO     [18:43:59.487] [KXETH15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.0 min left
2026-04-06T18:43:59  INFO     [18:43:59.642] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.10 | 1.0 min left
